epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,3271.32,1.30426,1.23114,1.46935,0.61416,0.6945,0.72718,0.38866,1.53481,1.30368,1.7252,0.0089308,0.0089308,0.0089308
110,3300.66,1.31254,1.25696,1.47868,0.60505,0.60235,0.67974,0.33996,1.66009,1.46915,1.87022,0.0089209,0.0089209,0.0089209
111,3330.21,1.31264,1.26031,1.48003,0.65685,0.67858,0.73787,0.38293,1.58172,1.30192,1.78843,0.008911,0.008911,0.008911
112,3359.93,1.30085,1.23861,1.47588,0.65249,0.6875,0.73358,0.40119,1.51605,1.26814,1.75,0.0089011,0.0089011,0.0089011
113,3389.33,1.29983,1.24654,1.47217,0.67808,0.62696,0.71234,0.36517,1.61615,1.34398,1.83,0.0088912,0.0088912,0.0088912
114,3418.62,1.31224,1.24537,1.48547,0.6076,0.70395,0.72931,0.38789,1.54746,1.28556,1.76227,0.0088813,0.0088813,0.0088813
115,3447.93,1.2887,1.21806,1.46652,0.63158,0.6587,0.71657,0.37805,1.57316,1.31618,1.77314,0.0088714,0.0088714,0.0088714
116,3477.99,1.30384,1.23217,1.47512,0.74041,0.64158,0.74196,0.36641,1.60422,1.32679,1.78279,0.0088615,0.0088615,0.0088615
117,3507.58,1.31063,1.24202,1.47794,0.66567,0.63973,0.71571,0.38772,1.53475,1.262,1.73873,0.0088516,0.0088516,0.0088516
118,3537,1.30645,1.22411,1.47568,0.6273,0.67375,0.71564,0.38383,1.55859,1.27243,1.7577,0.0088417,0.0088417,0.0088417
119,3567.42,1.29932,1.23517,1.47684,0.63704,0.70152,0.73327,0.39232,1.53524,1.25542,1.74357,0.0088318,0.0088318,0.0088318
120,3596.96,1.2983,1.23395,1.47711,0.66479,0.69932,0.73968,0.39115,1.56202,1.24531,1.75662,0.0088219,0.0088219,0.0088219
121,3626.08,1.29914,1.21042,1.47005,0.6973,0.67166,0.73358,0.39513,1.53557,1.26787,1.73909,0.008812,0.008812,0.008812
122,3655,1.298,1.22481,1.46761,0.66747,0.67556,0.73041,0.39782,1.51582,1.23907,1.72939,0.0088021,0.0088021,0.0088021
123,3684.43,1.29456,1.22911,1.47057,0.66237,0.64402,0.75202,0.39198,1.55024,1.24662,1.75301,0.0087922,0.0087922,0.0087922
124,3713.72,1.30604,1.20197,1.46123,0.66856,0.66868,0.72288,0.38928,1.57535,1.23077,1.74118,0.0087823,0.0087823,0.0087823
125,3743.21,1.31069,1.22259,1.47705,0.7004,0.63231,0.72182,0.38511,1.55903,1.2877,1.76362,0.0087724,0.0087724,0.0087724
126,3773.6,1.28161,1.19536,1.47356,0.67762,0.65716,0.73096,0.39891,1.53006,1.22102,1.75285,0.0087625,0.0087625,0.0087625
127,3804.37,1.29317,1.21712,1.4742,0.68577,0.6392,0.72468,0.39025,1.54121,1.2916,1.76548,0.0087526,0.0087526,0.0087526
128,3834.58,1.29229,1.18757,1.45909,0.71219,0.63612,0.72224,0.3897,1.54128,1.27704,1.73887,0.0087427,0.0087427,0.0087427
129,3865.05,1.28556,1.19789,1.45391,0.69744,0.66191,0.74608,0.40097,1.5598,1.24893,1.76621,0.0087328,0.0087328,0.0087328
130,3895.96,1.29405,1.20616,1.46307,0.72396,0.65639,0.74811,0.3949,1.55355,1.25028,1.74119,0.0087229,0.0087229,0.0087229
131,3925.66,1.27715,1.2031,1.46516,0.7079,0.67174,0.75089,0.40199,1.53743,1.24325,1.73422,0.008713,0.008713,0.008713
132,3955.1,1.28476,1.22848,1.46091,0.66676,0.69552,0.73666,0.39795,1.54461,1.26207,1.72672,0.0087031,0.0087031,0.0087031
133,3984.08,1.30358,1.18855,1.46057,0.66381,0.68756,0.75358,0.39647,1.54024,1.2298,1.72742,0.0086932,0.0086932,0.0086932
134,4013.22,1.31274,1.2035,1.47618,0.65291,0.7038,0.75599,0.40661,1.53322,1.2232,1.7198,0.0086833,0.0086833,0.0086833
135,4044.49,1.27703,1.18468,1.45688,0.6975,0.65121,0.75775,0.41715,1.50277,1.24602,1.70949,0.0086734,0.0086734,0.0086734
